,2020-08-28
Pilõezinhos,296
Curral Velho,3
Água Branca,54
Catingueira,19
Bom Jesus,14
Logradouro,150
Serra Branca,176
São Sebastião de Lagoa de Roça,247
Damião,38
Uiraúna,157
São José de Caiana,50
Baía da Traição,627
Alhandra,629
Alagoa Grande,990
Araruna,244
Nova Floresta,71
Taperoá,99
Belém,1035
Picuí,262
São João do Tigre,11
Alagoa Nova,303
Riachão,77
Conde,769
Olho d'Água,41
Santana de Mangueira,10
Princesa Isabel,94
Pilões,128
Caturité,103
Várzea,19
Mulungu,401
Camalaú,20
Igaracy,11
Tacima,123
Bonito de Santa Fé,46
Lagoa,6
Salgadinho,31
São José dos Ramos,254
Zabelê,30
Ingá,1334
Joca Claudino,19
Cacimba de Dentro,313
Nazarezinho,45
Aparecida,84
Massaranduba,331
Juazeirinho,217
Itapororoca,834
Pedra Branca,1
Duas Estradas,84
Sobrado,189
Pilar,412
Santa Rita,3062
Barra de Santa Rosa,77
São Domingos do Cariri,60
Quixaba,35
Pirpirituba,312
São Francisco,34
Paulista,258
Marcação,389
Caldas Brandão,244
São João do Cariri,104
Fagundes,109
Itaporanga,357
Manaíra,12
Puxinanã,281
Cuité,261
Campina Grande,12231
Pitimbu,618
Baraúna,136
Alagoinha,949
São José do Bonfim,59
Umbuzeiro,78
Vista Serrana,15
Rio Tinto,1106
Alcantil,63
Nova Palmeira,79
São João do Rio do Peixe,299
Teixeira,172
Areial,50
São José da Lagoa Tapada,60
Montadas,49
Cabedelo,2736
Santa Inês,68
Desterro,58
Dona Inês,98
São Mamede,47
Barra de Santana,104
Cachoeira dos Índios,100
Olivedos,105
Serra Redonda,262
Passagem,30
São José de Princesa,2
Guarabira,4072
Sertãozinho,302
Serraria,170
Natuba,64
Gurinhém,438
Cabaceiras,67
Riachão do Bacamarte,235
Riacho de Santo Antônio,30
Belém do Brejo do Cruz,51
Serra Grande,11
Queimadas,1193
Bananeiras,335
Mãe d'Água,19
Triunfo,77
São José do Sabugi,252
Cajazeiras,1615
Santa Luzia,262
Areia de Baraúnas,11
Juarez Távora,420
Catolé do Rocha,406
Jericó,37
Remígio,248
Serra da Raiz,36
Lastro,25
Mataraca,212
Assunção,45
Boa Vista,101
Pombal,580
Pocinhos,196
Sossêgo,15
Caraúbas,43
Gado Bravo,101
Santo André,13
Casserengue,349
Capim,152
Poço Dantas,23
Amparo,17
Mari,1153
Parari,6
Lucena,447
São Domingos,10
Cruz do Espírito Santo,286
Ibiara,84
Curral de Cima,30
Gurjão,31
Mogeiro,211
Monte Horebe,35
Cuitegi,399
Bayeux,1741
Emas,52
Sousa,1663
Boqueirão,376
Tavares,155
São José do Brejo do Cruz,14
Pedras de Fogo,1295
Congo,85
Caiçara,441
Areia,437
Santana dos Garrotes,20
Pedro Régis,51
Boa Ventura,6
São Sebastião do Umbuzeiro,20
Coxixola,35
Itabaiana,1079
Santa Teresinha,57
Tenório,32
Araçagi,497
Riacho dos Cavalos,14
Aroeiras,211
Santa Cruz,60
Salgado de São Félix,258
São Bentinho,70
Maturéia,55
Vieirópolis,9
Junco do Seridó,64
Nova Olinda,15
Bom Sucesso,23
São José dos Cordeiros,43
Livramento,105
Santa Helena,20
Coremas,133
Cajazeirinhas,34
São José de Espinharas,67
São Vicente do Seridó,50
Lagoa Seca,701
Marizópolis,33
Condado,138
Piancó,184
Bernardino Batista,13
Itatuba,342
Jacaraú,298
São Bento,2015
Cuité de Mamanguape,123
Barra de São Miguel,57
Algodão de Jandaíra,19
Mamanguape,2238
Frei Martinho,18
Riachão do Poço,94
Ouro Velho,2
Caaporã,950
Borborema,40
Cubati,77
São Miguel de Taipu,141
Pedra Lavrada,35
Lagoa de Dentro,138
João Pessoa,26637
Conceição,577
Imaculada,61
Prata,7
Solânea,647
Poço de José de Moura,30
Juripiranga,483
Sumé,257
Juru,145
Carrapateira,52
Soledade,176
Arara,220
São José de Piranhas,196
Brejo do Cruz,422
Cacimba de Areia,9
Aguiar,23
Malta,109
Sapé,1100
Diamante,245
Cacimbas,47
Brejo dos Santos,49
Matinhas,72
Patos,3575
Esperança,503
Monteiro,539
Santa Cecília,77
Mato Grosso,17
